INFO   | jvm 1    | 2015/08/14 12:37:24 |  INFO [14-08-2015 12:37:24] Using RMI protocol for remote communication.
INFO   | jvm 1    | 2015/08/14 12:37:24 |  INFO [14-08-2015 12:37:24] Initialization of polling and synchronizer successful.
INFO   | jvm 1    | 2015/08/14 12:37:24 | Duration of executing thread PollingOrSync in MilliSeconds : 46
INFO   | jvm 1    | 2015/08/14 12:39:25 | Duration of exectuing proxyview of PointsToPoll : 656
INFO   | jvm 1    | 2015/08/14 12:39:25 | Duration of executing method getPointsToPoll in MilliSeconds : 703
INFO   | jvm 1    | 2015/08/14 12:39:25 | Duration of executing method doPolling in MilliSeconds : 1125
INFO   | jvm 1    | 2015/08/14 12:39:25 | Duration of executing thread PollingOrSync in MilliSeconds : 1125
INFO   | jvm 1    | 2015/08/14 12:39:25 | Updated MeasurementPoints count : 1000
INFO   | jvm 1    | 2015/08/14 12:39:52 | Duration of updating measurementpoints in MilliSeconds : 26399
INFO   | jvm 1    | 2015/08/14 12:41:24 | Duration of exectuing proxyview of PointsToPoll : 437
INFO   | jvm 1    | 2015/08/14 12:41:24 | Duration of executing method getPointsToPoll in MilliSeconds : 437
INFO   | jvm 1    | 2015/08/14 12:41:25 | Duration of executing method doPolling in MilliSeconds : 671
INFO   | jvm 1    | 2015/08/14 12:41:25 | Duration of executing thread PollingOrSync in MilliSeconds : 671
INFO   | jvm 1    | 2015/08/14 12:41:25 | Updated MeasurementPoints count : 1000
INFO   | jvm 1    | 2015/08/14 12:41:50 | Duration of updating measurementpoints in MilliSeconds : 24865
INFO   | jvm 1    | 2015/08/14 12:43:24 | Duration of exectuing proxyview of PointsToPoll : 438
INFO   | jvm 1    | 2015/08/14 12:43:24 | Duration of executing method getPointsToPoll in MilliSeconds : 453
INFO   | jvm 1    | 2015/08/14 12:43:25 | Duration of executing method doPolling in MilliSeconds : 625
INFO   | jvm 1    | 2015/08/14 12:43:25 | Duration of executing thread PollingOrSync in MilliSeconds : 625
INFO   | jvm 1    | 2015/08/14 12:43:25 | Updated MeasurementPoints count : 1000
INFO   | jvm 1    | 2015/08/14 12:43:48 | Duration of updating measurementpoints in MilliSeconds : 22908
INFO   | jvm 1    | 2015/08/14 12:45:24 | Duration of exectuing proxyview of PointsToPoll : 375
INFO   | jvm 1    | 2015/08/14 12:45:24 | Duration of executing method getPointsToPoll in MilliSeconds : 391
INFO   | jvm 1    | 2015/08/14 12:45:25 | Duration of executing method doPolling in MilliSeconds : 563
INFO   | jvm 1    | 2015/08/14 12:45:25 | Duration of executing thread PollingOrSync in MilliSeconds : 563
INFO   | jvm 1    | 2015/08/14 12:45:25 | Updated MeasurementPoints count : 1000
INFO   | jvm 1    | 2015/08/14 12:45:47 | Duration of updating measurementpoints in MilliSeconds : 21966
INFO   | jvm 1    | 2015/08/14 12:47:24 | Duration of exectuing proxyview of PointsToPoll : 375
INFO   | jvm 1    | 2015/08/14 12:47:24 | Duration of executing method getPointsToPoll in MilliSeconds : 391
INFO   | jvm 1    | 2015/08/14 12:47:25 | Duration of executing method doPolling in MilliSeconds : 547
